,Date Posted,Text,Label
0,2/11/2020,just in novel coronavirus named covid-19 un health agency afp,1
1,2/12/2020,who officially names coronavirus as covid-19 coronavirusoutbreak ,1
2,2/12/2020,the un health agency announced that covid-19 will be the official name of the deadly virus from china coronavirus ,1
3,2/14/20,the indian embassy in tokyo has said that one more indian crew member on diamond princess has tested positive for covid-19 ,1
4,2/15/20,ground zero how kerala used its experience in controlling the 2018 nipah virus outbreak to prepare for a potential covid-19 spread coronavirus kerala china ,1
5,2/15/20,an elderly chinese tourist hospitalised in france has died of the coronavirus covid-19 becoming the first fatality in europe french health minister agnes buzyn said ,1
6,2/16/20,the total number of people infected with covid-19 on the ship rose to 355 on sunday ,1
7,2/16/20,covid-19 coronavirus updates africa has its first confirmed case a person in egypt tested positive diu ,1
8,2/17/20,covid-19 updates kerala defeats coronavirus all three cases have recovered diu ,1
9,2/18/20,coronavirus liuzhiming the head of a leading hospital in chinas central city of wuhan is the second prominent chinese doctor to have succumbed to covid-19 ,1
10,2/19/20,serum institute of india recently announced that vaccine candidate covid-19 is expected to progress to human trials phase within 6 months ,1
11,2/19/20,two chinese crew members of a ship which arrived from the covid-19-hit china have been kept in isolation due to fever ,1
12,2/20/20,so far 621 cases of the virus which has been named covid-19 have been confirmed among the the diamond princesss original 3711 people on board ,1
13,2/20/20,covid-19 so far southkorea has reported a total of 82 cases of the virus ,1
14,2/20/20,there has also been a drop in airfares to countries like thailand in wake of the spread of covid-19 coronavirus ,1
15,2/23/20,covid19 the final results of the parliamentary election are due on sunday two days after it was held on the heels of the confirmation of covid-19 cases in the country iranelection ,1
16,2/23/20,the recent covid-19 scare brought to the fore the importance of coordination among states from smuggling of goods to dumping of medical waste the issues are many and need careful handling by several state governments acting in concert ,1
17,2/24/20,racism the attack was over covid-19 outbreak a spokeswoman of birmingham chinese society said there has always been abuse the virus has given some individuals a reason for that abuse covid19 ,1
18,2/25/20,the world health organization has named the illness covid-19 referring to its origin late last year and the coronavirus that causes it ,1
19,2/26/20,could north korea handle a covid-19 outbreak ,1
20,2/27/20,coronavirus india on wednesday sent a heavy lift military transport aircraft to the covid-19-hit wuhan in china ,1
21,2/28/20,cdc does not currently recommend the general public use facemasks or respirators for covid19 this 2017 ,1
22,2/28/20,her statement comes at a time when the fast-spreading covid-19 virus has disrupted global markets coronavirus ,1
23,2/28/20,we have now increased our assessment of the risk of spread and the risk of impact of covid-19 to very high at global level says who chief tedros adhanom ghebreyesus ,1
24,2/28/20,this is not the first time that letters about covid-19 or sars-cov-2 virus published in peer-reviewed journals has had a problem ,1
25,2/29/20,reports of community spread of covid19 in california oregon & washington raise concern about the immediate threat for covid-19 for certain communities in the us however most people in the us have little immediate risk of exposure to the virus ,1
26,2/29/20,some people in the us will be at increased risk of covid19 depending on their exposures the greatest risk is to those who are in close contact with people with covid-19 people with suspected or confirmed exposure should reach out to their healthcare provider,1
27,2/29/20,nhs plans to deploy dads army of retired doctors if covid-19 spreads ,1
28,2/29/20,india admirably stepped up to the task of arresting the spread of covid-19 yet all the measures it took were immediate and short term is india equipped to deal with a wuhan-sized epidemic indiatodaymagazine ,1
29,2/29/20,we have now increased our assessment of the risk of spread and the risk of impact of covid-19 to very high at global level says who chief tedros adhanom ghebreyesus ,1
30,2/29/20,just in trump bans travel to us from iran urges americans not to travel to areas in italy and southkorea hit by covid-19,1
31,3/1/2020,matt hancock says covid-19 outbreak could force uk to shut down cities  video ,1
32,3/1/2020,kerala chief minister pinarayi vijayan on sunday sought intervention of external affairs ministry to ensure safe return of the indian fishermen trapped in covid-19 infected iran ,1
33,3/2/2020,coronavirus 24-year-old techie from bengaluru tests positive for covid-19 in hyderabad around 80 people he had interacted with are being placed under watch ,1
34,3/2/2020,sensex closed 15327 points lower at 3814402 on monday as detection of fresh covid-19 cases in india spooked domestic investors sensex coronavirus covid-19 ,1
35,3/2/2020,covid-19 iran has reported 978 confirmed cases of coronavirus which has left 24 people dead in the country ,1
36,3/2/2020,covid-19 we have already started contact tracing for family and office members of the two new cases that have detected positive today monday says health minister,1
37,3/2/2020,just in a 24 year old man from hyderabad who works at a software company tested positive for covid 19,1
38,3/2/2020,public health officials say the novel coronavirus is less deadly than sars but epidemiologists are still trying to determine exactly how deadly covid19 is about 2 percent of reported cases have been fatal but experts say the death rate could be lower ,1
39,3/2/2020,covid-19 spreads more easily than sars and is similar to other coronaviruses that cause cold-like symptoms it appears to be highly transmissible and since cases are mild the disease may be more widespread than current testing numbers suggest ,1
