Date Posted,Text,Region,Origin,Fact_checked_by,Poynter_Label,Binary Label
2020-02-07, tencent revealed the real number of deaths ,Europe, Twitter, CheckNews,misleading,0
2020-02-07, taking chlorine dioxide helps fight coronavirus ,Europe, Website, Correctiv,false,0
2020-02-07, this video shows workmen uncovering a batinfested roof in the us state of florida in 2011 ,India, Facebook, AFP,misleading,0
2020-02-07, the asterix comic books and the simpsons predicted the coronavirus outbreak ,India, Twitter, BOOM FactCheck,misleading,0
2020-02-07, chinese president xi jinping visited a mosque amid the coronavirus outbreak and asked the people of the muslim community to pray about present crisis ,India, Facebook, NewsMobile,false,0
2020-02-07, china seeks court approval to kill over 20000 coronavirus patients to stop the spread of the outbreak ,United States, ab, LeadStories,false,0
2020-02-08, the new coronavirus causes sudden death syndrome ,United States, Facebook, PolitiFact,false,0
2020-02-08, autopsy reveals a wuhan doctor was murdered in his sickbed ,United States, ab, LeadStories,false,0
2020-02-08, in a photo of pakistani prime minister imran khan and chinese president xi jinping imran khan is wearing a mask ,India, Facebook, Vishvas News,false,0
2020-02-08, a video says weed kills coronavirus ,India," Twitter, WhatsApp", BOOM FactCheck,misleading,0
2020-02-08, a video shows people screaming in wuhan because they feared the coronavirus ,India, Twitter, BOOM FactCheck,misleading,0
2020-02-08, coronavirus has been found in broiler chicken ,India, Facebook, Vishvas News,false,0
2020-02-09, coronavirus is caused by snakes ,Europe," Facebook, Website", 15min.lt,false,0
2020-02-10, covid19 was stolen from canada by chinese spies and accidentally released in wuhan ,Europe," Facebook, Website", 15min.lt,false,0
2020-02-10, satellite images show high levels of sulphur dioxide above china are possible evidence of mass cremations of people who have died from coronavirus ,Europe, Twitter thread + multiple newspapers, Full Fact,false,0
2020-02-10, a person with coronavirus is in andorra on 21020 ,Europe, Facebook, Newtral.es,false,0
2020-02-10, a child from china has coronavirus in galicia spain ,Europe, WhatsApp, Maldita.es,false,0
2020-02-10, there is a case of coronavirus in andorra ,Europe, Facebook, Maldita.es,misleading,0
2020-02-10, there is a case of coronavirus in caserta ,Europe, Facebook, Pagella Politica,false,0
2020-02-10, a woman infected with the coronavirus was killed by chinese police ,India, Facebook, India Today,mostly false,0
2020-02-10, bill gates predicted coronavirus ,Europe, Facebook, Pagella Politica,false,0
2020-02-10, bill gates predicted coronavirus ,Europe, Facebook, Pagella Politica,fake,0
2020-02-10, coronavirus is found in broiler chicken ,India, Facebook, Factly,false,0
2020-02-10, garlic water can cure novel coronavirus ,India, Facebook, Vishvas News,false,0
2020-02-10, can cannabis cure coronavirus ,India, Twitter, Newschecker,misleading,0
2020-02-10, in 2012 a facebook user predicted coronavirus from china ,Europe, Facebook, Pagella Politica,false,0
2020-02-11, videos state that 25000 chinese are being killed ,India," Facebook, Twitter", BOOM FactCheck,false,0
2020-02-11, breaking,United States, Facebook, PolitiFact,false,0
2020-02-11, people in wuhan are locked inside their houses by the chinese government ,India," Facebook, Twitter", FactCrescendo,false,0
2020-02-11, coronavirusinfected chicken has been found in bengaluru india ,India, Facebook, India Today,mostly false,0
2020-02-11,just in novel coronavirus named covid19 un health agency afp,India,The Hindu,,true,1
2020-02-11, cats and dogs can be infected and can contaminate humans with covid19 ,Europe, Twitter, franceinfo,false,0
2020-02-11, people are lying on the ground in china because they contracted the coronavirus ,Europe," Facebook, TikTok", France 24 Observers,false,0
2020-02-11, pets can contaminate humans ,Europe, Media, franceinfo,misleading,0
